date,price,p_code
2022-03-26,,AW_A00198
2022-03-26,,AW_A00200
2022-03-26,,AW_A00091
2022-03-26,,AW_A00092
2022-03-26,,AW_A00033
2022-03-26,,AW_A00021
2022-03-26,,AW_A00022
2022-03-26,,AW_A00008
2022-03-26,,AW_A00009
2022-03-19,,AW_A00115
2022-03-19,,AW_A00116
2022-03-19,,AW_A00152
2022-03-19,,AW_A00153
2022-03-19,,AW_A00198
2022-03-19,,AW_A00200
2022-03-19,,AW_A00091
2022-03-19,,AW_A00092
2022-03-19,,AW_A00033
2022-03-19,,AW_A00021
2022-03-19,,AW_A00022
2022-03-19,,AW_A00008
2022-03-19,,AW_A00009
2022-03-14,,AW_A00034
2022-03-12,,AW_A00115
2022-03-12,,AW_A00116
2022-03-12,,AW_A00152
2022-03-12,,AW_A00153
2022-03-12,,AW_A00198
2022-03-12,,AW_A00200
2022-03-12,,AW_A00091
2022-03-12,,AW_A00092
2022-03-12,,AW_A00033
2022-03-12,,AW_A00021
2022-03-12,,AW_A00022
2022-03-12,,AW_A00008
2022-03-12,,AW_A00009
2022-03-11,,AW_A00034
2022-03-11,,AW_A00006
2022-03-11,,AW_A00007
2022-03-10,,AW_A00034
2022-03-10,,AW_A00006
2022-03-10,,AW_A00007
2022-03-09,,AW_A00115
2022-03-09,,AW_A00116
2022-03-09,,AW_A00152
2022-03-09,,AW_A00153
2022-03-09,,AW_A00198
2022-03-09,,AW_A00200
2022-03-09,,AW_A00091
2022-03-09,,AW_A00092
2022-03-09,,AW_A00033
2022-03-09,,AW_A00034
2022-03-09,,AW_A00021
2022-03-09,,AW_A00022
2022-03-09,,AW_A00008
2022-03-09,,AW_A00009
2022-03-09,,AW_A00006
2022-03-09,,AW_A00007
2022-03-08,,AW_A00034
2022-03-08,,AW_A00006
2022-03-08,,AW_A00007
2022-03-07,,AW_A00034
2022-03-07,,AW_A00006
2022-03-07,,AW_A00007
2022-03-05,,AW_A00115
2022-03-05,,AW_A00116
2022-03-05,,AW_A00152
2022-03-05,,AW_A00153
2022-03-05,,AW_A00198
2022-03-05,,AW_A00200
2022-03-05,,AW_A00091
2022-03-05,,AW_A00092
2022-03-05,,AW_A00033
2022-03-05,,AW_A00021
2022-03-05,,AW_A00022
2022-03-05,,AW_A00008
2022-03-05,,AW_A00009
2022-03-04,,AW_A00034
2022-03-04,,AW_A00006
2022-03-04,,AW_A00007
2022-03-03,,AW_A00034
2022-03-03,,AW_A00006
2022-03-03,,AW_A00007
2022-03-02,,AW_A00034
2022-03-02,,AW_A00006
2022-03-02,,AW_A00007
2022-03-01,,AW_A00115
2022-03-01,,AW_A00116
2022-03-01,,AW_A00152
2022-03-01,,AW_A00153
2022-03-01,,AW_A00198
2022-03-01,,AW_A00200
2022-03-01,,AW_A00091
2022-03-01,,AW_A00092
2022-03-01,,AW_A00033
2022-03-01,,AW_A00034
2022-03-01,,AW_A00021
2022-03-01,,AW_A00022
2022-03-01,,AW_A00008
2022-03-01,,AW_A00009
2022-03-01,,AW_A00006
2022-03-01,,AW_A00007
2022-02-28,,AW_A00006
2022-02-28,,AW_A00007
2022-02-26,,AW_A00115
2022-02-26,,AW_A00116
2022-02-26,,AW_A00152
2022-02-26,,AW_A00153
2022-02-26,,AW_A00198
2022-02-26,,AW_A00200
2022-02-26,,AW_A00091
2022-02-26,,AW_A00092
2022-02-26,,AW_A00033
2022-02-26,,AW_A00034
2022-02-26,,AW_A00021
2022-02-26,,AW_A00022
2022-02-26,,AW_A00008
2022-02-26,,AW_A00009
2022-02-26,,AW_A00006
2022-02-26,,AW_A00007
2022-02-19,,AW_A00115
2022-02-19,,AW_A00116
2022-02-19,,AW_A00152
2022-02-19,,AW_A00153
