배추
1포기
2.5kg
1통
1포기(2.5kg)
1포기(2.5~3kg)
1개
1포기 
1마리
1포기(660g)
1포기(527g)
1포기(3kg)
1포기(415g)
1포기(2.5kg~3kg)
1개(2.5kg~3kg)
1포기(2.5k~3kg)
1포기(750g)
100g
1포기 2.5kg
1포기(623g)
1포기(900g)
1.5kg
1콩
1포기(678g)
1망
1포기(2kg)
1포기(597g)
포기
1포기(519g)
1포기(2.5k~3k)
1포가
1포기(600g)
1개(2.5kg)
1포기(841g)
1포기(2.5kg~3k)
1포기(724g)
1포기(2.5~3k)
1포기(504g)
1포기(650g)
1포기(700g)
국산
1포기(25kg~3kg)
"1포기(2,5k~3kg)"
1포기(601g)
1포기(711g)
1포기(2.3kg)
1포기(579g)
1포 기
2.5kg 
1포기 2.2~3kg
1포기(530g)
1포기(2.5kg이상)
1포기(2.8kg)
2.5~3kg
1포기(1.8kg)
1포기(2.6kg)
"2,5kg"
1개2590g
1포기(515g)
1개 
1포기(3.3kg)
1포기(1000g)
1\1포기
1포기(862g)
1포기(619g)
1포기 2.5~3kg
1개3086g
1개2838g
1개2262g
2.5Kkg
"1포기  (2,5 ~3kg)"
1포기(3.5kg)
"1포기 (2,5~3kg )"
1포기(630g)
1포기(2.5k이상)
1포기(652g)
1포기(2.2kg)
1개2806g
1개2158g
1개2512g
1포기(3.2kg)
1개2278g
1개2050g
1개2326g
1포기(864g)
1개2302g
1개2054g
1개2078g
1포기(598g)
1포기(553g)
1개(1238g)
1개(2.0kg)
1개(1.8kg)
1개2126g
1개1984g
1개2092g
1개2210g
1개2538g
1개2130g
"1포기 (3입  망  14,000원) "
1개2048g
1개2018g
1개2633g
1포기(2.5g)이상
2.8kg
3kg
1.3kg
"1포기  (3입 망 12,000원) "
1개2340g
1개2920g
1개2600g
1포기(2800g)
"1포기 (3입 망  10,000원 )"
1포기2.5-3kg
1포기(497g)
"1포기 (3입  망  11,000원 "
2.7kg
1개1928g
1개2760g
1개2286g
1포기(1.7kg)
1포기(455g)
1포기(2750g)
1개2182g
1개2774g
1개2900g
"1포기 (3입 망 10,000원)"
1포기(411g)
1.4kg
1포기(2.7kg)
1개2134g
1개2933g
1개2808g
"1포기 (100g  1,000원 )"
1망(3개)
1포기(450g)
"1포기  (3입  망  11,000원 )"
1포기(2..5kg)
1포기1.8kg)
1개3500g
1개1964g
1포기(1..8kg)
1포기(456g)
1포기(3.8kg)
1포가(2.8kg)
1포기(1.5kg)
1개2994g
1개2750g
1개2578g
1개(2kg)
"1포기  (3입 망10,000원)"
1.8kg
1포기(3.5KG)
"1포기(1,4kg)"
1포기2.5kg
1포기1.7kg
1개2330g
1개2160g
1개2172g
1포기(1820g)
1포기(659g)
1포기(2.kg)
1포기(2.4kg)
1포기(730g)
1개3248g
1개2235g
1개1422g
"1포기 (3입  망  10,000원 )"
"1포기  (100g  1,000원 )"
1통 
1개2474g
1개1954g
1개1500g
1포기(720g)
"1포기 (반통  3,800원 )"
"1포기 (3입  망  14,000원 )"
1포(2.5kg)
1포가(1.5kg)
1포기2kg
1개2.5kg
1포기1.5kg
1개1600g
1개1972g
1개2232g
1포기(813g)
"1포기(944g) (100g 1,000원) "
"1포기 (3입 망  15,000원 )"
1포기(1.4kg)
1포기(1kg)
1개2114g
1개1815g
1개2036g
1포기(713g)
"1포기 (3입  망 13.,000원 "
1.2kg
1포기(770g)
1포기(1778g)
1포기(1677g)
1포기(3.3KG)
1포기(702g)
1포기(776g)
"1포기(2,5kg)"
"1포기(2,750g)"
"1포기(2,800g)"
1포기780g
1포기2.9kg
1포기2.6kg
1포기(1.2kg)
1개(900g)
1포기(800g)
"1개2,508g"
"1개2,358g"
"1포기 (반통 3,000원)"
"1포기 (반통 3,200원)"
1.7kg
1포기(1k)
1개1836g
490g
3.0kg
2.9kg
1kg
1개2360g
1포기(1.65kg)
1포기 (봉) 800g)
"1포기(1,8kg)"
1포가(1.9kg)
"1포기(2,7kg)"
1포기알배기
1개2632g
1개2100g
1포기(710g)
"1개,2074g"
1개1764g
1개1272g
1개2070g
1포기(643g)
1포기(542g)
"1포기  (3입 망 9,000원)"
1포기(2.1kg)
1포기(1.5.kg)
"1포기 (3입 망 8,000원)"
"1포기 (반통 2,500원)"
1개1896g
1개2800g
1포기(1800g)
1포기(3.9kg)
1포기(2.35kg)
1포기3.0kg
1포(3kg)
1포기420g
"1포기 (반통 2,700원)"
1.6kg
1개(2.2kg)
1개1856g
1개1588g
1포기(766g)
"1포기 (3입 망 8,000)"
1마리(1.4kg)
1개2110g
1개1810g
1포기(558g)
1포기(200g)
1포기(726g)
1개1974g
1개1705g
1개2000g
1개1525g
1개1740g
1망(3개)7800g
1망(3개)8000g
1포기(1899g)
1포기(487g)
