애호박
1개
1개(200g)
1게
1개 
1개(150g)
1개(300g)
600g
1근 600g (1+)
600g (1+)
1팩(2개)
1개(140g)
600g(행사)
300g
1개인큐애호박
1개 애호박
1개(210g)
1개(280g)
1개   
1개  
1개320g
1개310g
1개(230g)
1개(250g)
1 개
320g
1개300g
200g
1개340g
1개(290g)
1개(380g)
1개(350g)
1개(160g)
1개 (300g)
1개(320g)
1개(340g)
1개(370g)
1개(330g)
330g
340g
1개(600g)
1개280g
1봉(2개)
1개(400g)
1팩 2개
1개 270g
1개(310g)
1개330g
1개(180g)
1개305g
1개(360g)
1개(410g)
1개 (300-350g)
1개(250
1개(250gg)
1개350g
1개 220g
1개 (350g)
380g
390g
1개 250g
360g
1개 300g
1개200-250g 
1개290g
1개240g
400g
1개250g
1개(302g)
288g
1개(318g)
1개(354g)
1개(304g)
1마리(280g)
1마리(300g)
1개 230g
1개(110g)
1개(270g)
350g
1개380g
1개360g
1팩 (2개
1몽(2개)
1개(268g)
1개280g 
1개(390g)
1개(244g)
1개(314g)
370g
1개(276g)
1개(260g)
1개(280
1개390g
1개(200g
1개(294g)
1개(285g)
1개410g
1개420g
1개(317g)
1개(220g)
1개(338g)
1개370g
1개(292g)
1개(327g)
1개(346g)
1개 (200g)
1개(342g)
1개(349g)
1개(286g)
1개(387g)
10개
1개(426g)
"1개 (1묶음 2개 2,500원)"
"1개,"
1개(
1개(312g)
개
1마리300g
1개(328g)
1개330g 
1개(326g)
1(280g)
1개 (800g)
1개(394g)
1개 310g
1패
1개426g
1개(300
348g
1개(352g)
1개(240g)
1개(374g)
2개510g
1개(278g)
1개(50kg)
"1개 (2,500원 1,200원 행사가)"
1개4260g
1새
440g
430g
1개(307g)
1개(350G)
1봉(615g)
1개(351g)
2개
1개 440g
1개 400g
1개(324g)
1개 340g
1개(440g)
1개(322g)
1개(325g)
351g
1개(315g)
1마리
1
1ㅐ
1대
ㅣ개
2780
1개1
10개 
1ro
 1개
12개
