상추
100g 
100g
1봉지100g
1망 100g 
1개
1봉지
1봉지(100g)
150g
1봉지200g
1팩(100g)
150 g
1봉지200g()
1봉지150g
100G
국산
1개(100g)
청
1봉(159g)
1팩(158g)
1봉지(200g)
1봉지(150g)
1개 
100g 적상추
1봉(162g)
1봉(156g)
400g
1팩(164G)
1팩(162G)
190g
1봉지 100g
1봉
(100g)
1팩(152g)
1팩(162g)
1봉(152g)
1팩(258g)
10kg
"100g (200g 1,780원 )"
"100g (230g 2,000원 )"
1망 200g 
1봉지(100g )
1팩(166g)
1망(144g)
1봉(120g)
1봉(100g)
"100g  (200g 2,980원 )"
"100g  (200g 3,000원 )"
100g  
1망100g 
1봉(166g)
1팩(160g)
"100g (200g 2,980원 )"
1망(200g)
적상추100g
100g적상추
1팩(163g)
1팩(154g)
"100g (200g  2,000원 ))"
1봉(164g)
1봉(160g)
100G 
1망(120g)
1봉지200G
200g
"100g (200g 3,000원)"
"100g  (200g  3,980원 )"
1봉(146g)
1팩(207g)
적상추
1봉100g
1망(215g)
1팩(159g)
"100g (200g  2,980원 )"
"100g  (200g  2,000원 )2,000"
1봉지 150g 
1팩(209g)
"100g  (230g 2,000원 )"
"100g  (200g 3,280원 )"
100g(130g)
1봉110g
1봉150g
1봉(219g)
1망(150g)
1봉지(400g)
1팩(157g)
1봉지(120g)
"100g (230g  2,000원 )"
"100g  (200g 2,480원 )"
100
1봉지 60g
1팩(153g)
"100g  (200g 4,000원 )"
1봉(105g)
"100g  (220g 3,000원 )"
"100g (200g  4,280원 )"
1팩(214g)
1팩(113g)
1팩(218g)
1팩(208G)
1팩(215g)
1팩(105g)
1망 130g
1망 200G 
1봉지 150g
1봉(200g)
1봉(150g)
1봉(80g)
"100g (230g 2,000원)"
"100g (200g 3,280원)"
"100g (180g 2,000원)"
적상추1봉지200g
100ㅎ
적상추200g
1봉(130g)
1봉(220g)
100kg
1봉((100g)
1망 130g 
1봉(211g)
1봉(230g)
"100g (220g  2,000원)"
1팩 200g 
"100g (300g 2,000원)"
100g (200g 1980원)
1팩(220g)
"100g (300g 2,000원),."
"100g (200g 1,980원)"
200g 
1봉지(200g) 
1봉(209g)
1봉(171g)
1봉110g 
1봉(110g)
"100g (250g 2,000원)"
1팩(168g)
"100g (200g  봉 1,980원)"
"100g (260g 봉 2,000원) "
1망 150g 
1akd 130ㅎ 
1봉(214g)
1봉(163g)
1봉(170g)
1포기(200g)
"100g (1봉 220g 2,000원)"
1봉(218g)
1망(152g)
1보지
1팩(208g)
11망 150g 
"100g (200g 1,580원)"
"100g(300g 2,000원)"
1봉(212g)
1봉(103g)
400g1근
1봉(224g)
"100g (280g 2,000원)"
1봉(213g)
1봉(180g)
"100g(200g 1,680원)"
1봉(140g)
1봉(208g)
1봉(167g)
1봉(154g)
"100g(200g 1,480원)"
"100g (1봉 300g 2,000원)"
1망 130cm 
1봉(215g)
`100g
"100g (200g 1,480원)"
"100g (350g 2,000원)"
1봉(149g)
"100g(1봉 300g 2,000원)"
100.g
1망 150g
"100g(200g 1,580원)"
1근(400g)
1봉(155g)
100g)
1봉(148g)
1봉(200g))
1봉(190g)
"100g (1봉 200g 1,480원)"
"100g(200g 2,180원)"
"100g (200g 2,000원)"
1봉150g  
1봉(165g)
"100g (200g 3,180원)"
"100g (330g 2,000원)"
1봉(199g)
1봉(158g)
l100g
"100g(250g 2,000원)"
1봉(104g)
1봉(205g)
"100g (1봉 200g 2,480원)"
1봉(216g)
1봉(254g)
1봉지130g
"100g (200g 2,580원)"
1봉(206g)
"100g (1봉 200g 1,000원)"
"100g (200g 2,180원)"
"100g (1봉 200g 2,000원)"
1봉(198g)
130g 
1봉(108g)
"100g (200g 1,280원)"
1근400g
"100g (200g내오 1,280원)"
"1봉(300g 2,000원)"
"100g (150g 1,280원)"
"100g (200g 1,680원)"
"100g(230g 2,000원)"
"100g (1봉 200g 1,680원)"
1봉지100G
1봉지100 g
"100g (200g 1,380원)"
"100g (1봉  250g 1,000원)"
"1봉(200g 1,000원)"
1봉130g
1봉지120g
1봉지(200g
1봉(201g)
"100g (1봉 200g 1,180원)"
100g(180g 880원)
"100g(250g 1,000원)"
1근 400g 
1팩 150g 
"100g(200g 1,280원)"
"100g (200g  1,000원)"
"100g(1봉 180g 1,000원)"
 100g 
100g(1봉 178g 880원)
159g
"100g (1봉 250g 1,000원)"
1개 200g
"100g (1봉 200g - 2,000원))"
1봉(168g)
1봉(182g)
1봉(250g)
1봉(186g)
"100g (1봉200g  1,000원)"
적상추400g
10개
128g
1망 150 g 
110g
1봉-220g
1봉(178g)
1봉(179g)
"100g (1봉 230g 1,000원)"
1봉지(180g)
적상추1봉지100g
1봉(181g)
"100g (230g 1,000원)"
"100g (200g - 1,580원)"
"100g (180g- 1,180원)"
1봉-200g
"100g (1봉 200g 1,280원)"
1근 
1망
1망 
1봉(129g)
332g
100g(봉)
220g 
204g
192g
150ㅎ
1봉(128g)
1봉(323g)
220g
1봉지 200g
"1망 1,5k "
1봉(309g)
"100g (200g-2,000원)"
1봉 150g
1봉 110g
1포기
1봉지(170g)
1kg
 (100g)
1봉지(300g)
1봉지(150g0
100k 
1봉지(250g)
1봉지l(150g)
100ㅎ 
1봉지(170g))
1봉지160g
1봉 
600g
1봉지(172g)
1봉지(280g)
1봉지(190g)
1봉지(350g)
100g 1
100g.
1근
120g
10
100kg 
1봉지(178g)
1몽지(150g)
1몽지(200g)
100g 920
1봉지(210g)
1봉자
1봉 지
100g 1봉
150g 1망
1 봉지(100)g
1 봉지
적상추(100g)
1 개
1봉지(140g)
 1개
 600g
 100g
"1,5kg"
1봉 (100g)
1
230g (1봉)
1봉 (120g)
한봉
 1봉지(200g)
1봉지( 100g)
 (138g)
"1,5k "
