무
1개
1개(1kg)
1개 
1kg
1 개
1kg 
1마리
1개 1kg
1망(1kg)
1개1개
1개(1.5kg)
1포기
1개g
1통
1개(1.8kg)
국산
1개((1kg)
한개
1개1556g
12kg
1개(1659g)
1개(1226g)
1개(1.1kg)
1개(1.7kg)
1개(1563g)
1개1532g
1개1598g
1개1538g
1망
1망 1.5kg
1망 1.8kg
"1망 (1,5kg )"
"1망(1,5kg )"
"1망(1,5kg)"
1개(2.0kg)
1개(1238g)
1개(1514g)
1개(1657g)
1개(1440g)
1개(2.7kg)
1개(1.2kg)
1개1768g
1개1358g
1개1414g
1개1886g
1개1570g
1개1806g
1개(1472g)
1개(1124g)
1개(2kg)
1개92.3kg)
1개1900g
1개1662g
1개1660g
1개(1567g)
1개(1583g)
1개(2.kg)
1개(1263g)
1개(1513g)
1망(1643g)
1망(1.8kg)
1개1148g
1개1962g
1개1790g
1개(1000g)
1개1684g
1개1601g
1개1416g
1개(1.4kg)
1개1724g
1개1716g
1개1500g
1개(1072g)
1개(1290g)
1.2kg
1개(900g)
1개(1256g)
1개(1200g)
1개1540g
1개1816g
1개1200g
1개1kg
1개(1280g)
1개(1.8 kg)
1개(1548g)
1개1690g
1개1804g
1개1322g
1개(1545g)
1개(2.3kg)
1개(1.3kg)
1개2308g
1개1300g
1개(1333g)
1개(1208g)
1개(1609g)
1개(1.6kg)
1개2040g
1개1800g
1개2214g
1개(1700g)
1개(1498g)
1개(1.9kg)
1개  
1개   
1개1850g
1개2722g
1개1898g
1개(1300g)
1개(1645g)
1개(1520g)
1.1kg
1개(2.5kg)
1개(1257g)
1개(1.8KG)
1개1.5kg
1개1658g
1개1736g
1개1562g
1개(1171g)
1개(1119g)
1개(2.2kg)
1개(1358g)
1개(1121g)
1개1912g
1개1705g
1개2204g
1개1518g
1개2256g
1개1604g
1개(1012g)
1개(1250g)
1.3kg
1봉지1.5kg
1개1734g
1개1860g
1개1760g
1개(987g)
1개(800g)
1개1934g
1개2084g
1개1932g
1개(1403g)
1개(1920g)
1개(1319g)
1개(1780g)
1개(1690g)
1개(1759g)
"1개(1,262g)"
1개(1.5KG)
1개(1098g)
1개(1717g)
1개(973g)
"1개(1,200g)"
1개1.1kg
1개1.2kg
1개(2.1kg)
"1개(1,5kg)"
"1개(1,6kg)"
"1개(1,000g)"
"1개1,934g"
1개2.000g
1개(2.8kg)
1개(400g)
"1개(1,7kg)"
1개 1.5kg
1개1744g
