,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
77,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-17,"736,000"
78,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-17,"216,000"
79,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-17,"4,500"
80,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-17,"32,300"
81,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-17,"26,300"
82,감자,152,수미(20kg),01,상품,04,20kg,2022-06-17,"42,300"
83,감자,152,수미(20kg),01,중품,05,20kg,2022-06-17,"38,300"
84,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-16,"44,200"
85,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-16,"40,800"
86,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-16,"97,800"
87,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-16,"240,000"
88,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-16,"122,000"
89,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-16,"360,000"
90,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-16,"266,000"
91,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-16,"736,000"
92,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-16,"216,000"
93,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-16,"4,500"
94,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-16,"31,600"
95,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-16,"25,600"
96,감자,152,수미(20kg),01,상품,04,20kg,2022-06-16,"41,600"
97,감자,152,수미(20kg),01,중품,05,20kg,2022-06-16,"37,600"
98,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-15,"44,200"
99,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-15,"40,800"
100,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-15,"97,800"
101,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-15,"240,000"
102,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-15,"122,000"
103,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-15,"360,000"
104,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-15,"266,000"
105,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-15,"736,000"
106,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-15,"216,000"
107,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-15,"4,500"
108,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-15,"30,600"
109,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-15,"24,600"
110,감자,152,수미(20kg),01,상품,04,20kg,2022-06-15,"40,300"
111,감자,152,수미(20kg),01,중품,05,20kg,2022-06-15,"36,300"
112,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-14,"44,200"
113,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-14,"40,800"
114,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-14,"97,800"
115,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-14,"240,000"
116,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-14,"122,000"
117,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-14,"360,000"
118,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-14,"266,000"
119,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-14,"736,000"
120,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-14,"216,000"
121,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-14,"4,500"
122,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-14,"30,600"
123,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-14,"24,600"
124,감자,152,수미(20kg),01,상품,04,20kg,2022-06-14,"40,300"
125,감자,152,수미(20kg),01,중품,05,20kg,2022-06-14,"36,300"
126,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-13,"44,200"
127,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-13,"41,200"
128,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-13,"97,800"
129,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-13,"240,000"
130,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-13,"122,000"
131,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-13,"360,000"
132,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-13,"266,000"
133,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-13,"736,000"
134,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-13,"216,000"
135,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-13,"4,500"
136,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-13,"30,600"
137,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-13,"24,600"
138,감자,152,수미(20kg),01,상품,04,20kg,2022-06-13,"40,300"
139,감자,152,수미(20kg),01,중품,05,20kg,2022-06-13,"36,300"
140,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-11,-
141,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-11,-
142,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-11,-
143,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-11,-
144,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-11,-
145,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-11,-
146,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-11,-
147,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-11,-
148,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-11,-
149,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-11,-
150,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-11,-
151,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-11,-
152,감자,152,수미(20kg),01,상품,04,20kg,2022-06-11,-
153,감자,152,수미(20kg),01,중품,05,20kg,2022-06-11,-
154,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-10,"44,200"
155,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-10,"41,200"
156,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-10,"97,800"
157,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-10,"240,000"
